0	20
2880	2
3083	19
5028	1
6966	9
8896	14
10722	11
12537	1
14349	6
16074	1
17793	1
19482	1
21135	1
22687	1
24215	3
25717	7
27208	2
28698	1
30162	8
31618	6
33062	8
34480	2
35842	3
37190	7
38465	11
39729	9
40959	9
42163	1
43352	1
44527	2
45626	1
46712	2
47796	2
48879	2
49928	9
50944	1
51951	1
52946	1
53937	6
54913	9
55776	2
56635	1
57450	8
58261	1
59057	6
59840	3
60620	3
61370	1
62111	2
62819	4
63495	8
64161	14
66153	1
68120	7
70041	11
71957	15
73868	10
75765	24
77622	3
79454	2
81278	10
83102	1
84896	19
86674	8
88446	1
90209	10
91937	8
93662	1
95357	17
97029	2
98694	62
100353	10
102010	5
103663	2
105256	1
106848	11
108437	1
109995	8
111533	9
113055	4
114574	2
116084	7
117575	3
119065	20
120527	5
121965	5
123400	1
124834	4
126257	9
127590	6
128880	1
130148	15
131404	9
132610	8
133814	6
134986	1
136119	1
137228	17
137998	10
139081	4
